,appid,player_count,date
69,1905180,14545,2025-09-22 21:57:44
70,1771300,22621,2025-09-22 21:58:13
71,108600,23096,2025-09-22 21:58:42
72,550,16494,2025-09-22 21:59:11
73,3241660,23480,2025-09-22 21:59:40
74,2300320,31142,2025-09-22 22:00:09
75,250900,19556,2025-09-22 22:00:38
76,1449850,11028,2025-09-22 22:01:08
77,322170,23472,2025-09-22 22:01:37
78,3472040,12374,2025-09-22 22:02:06
79,284160,21965,2025-09-22 22:02:35
80,2429640,22988,2025-09-22 22:03:04
81,1426210,5039,2025-09-22 22:03:33
82,582660,19255,2025-09-22 22:04:02
83,1158310,21175,2025-09-22 22:04:31
84,2246340,6259,2025-09-22 22:05:00
85,766570,8683,2025-09-22 22:05:30
86,513710,13454,2025-09-22 22:05:59
87,1325860,6763,2025-09-22 22:06:28
88,2878980,4809,2025-09-22 22:06:57
89,3037410,16885,2025-09-22 22:07:26
90,813780,18631,2025-09-22 22:07:55
91,489830,21732,2025-09-22 22:08:24
92,2399830,17059,2025-09-22 22:08:53
93,526870,22963,2025-09-22 22:09:22
94,4000,21375,2025-09-22 22:09:51
95,646570,9210,2025-09-22 22:10:21
96,292030,13986,2025-09-22 22:10:50
97,3405340,24070,2025-09-22 22:11:19
98,1623660,14606,2025-09-22 22:11:48
99,281990,20085,2025-09-22 22:12:17
100,1049590,2693,2025-09-22 22:12:46
101,1145360,10718,2025-09-22 22:13:15
102,1085660,22017,2025-09-22 22:13:44
103,629520,16935,2025-09-22 22:14:13
104,2183900,18222,2025-09-22 22:14:43
105,582010,4339,2025-09-22 22:15:12
106,427520,20144,2025-09-22 22:15:41
107,3224770,17433,2025-09-22 22:16:10
108,2073850,20558,2025-09-22 22:16:39
109,1665460,13397,2025-09-22 22:17:08
110,236850,16136,2025-09-22 22:17:38
111,594650,13482,2025-09-22 22:18:07
112,3513350,10156,2025-09-22 22:18:36
113,365670,10894,2025-09-22 22:19:05
114,1172710,22292,2025-09-22 22:19:34
115,8930,15887,2025-09-22 22:20:03
116,1407200,13399,2025-09-22 22:20:32
117,3447040,1569,2025-09-22 22:21:01
118,393380,11474,2025-09-22 22:21:31
119,3142050,12137,2025-09-22 22:22:00
120,1329410,1538,2025-09-22 22:22:29
121,1551360,8989,2025-09-22 22:22:58
122,39210,17871,2025-09-22 22:23:27
123,1466860,9503,2025-09-22 22:23:56
124,2321470,13918,2025-09-22 22:24:25
125,1818450,7918,2025-09-22 22:24:54
126,1283970,6688,2025-09-22 22:25:23
127,3478050,1169,2025-09-22 22:25:52
128,377160,14951,2025-09-22 22:26:21
129,252950,26312,2025-09-22 22:26:51
130,548430,8928,2025-09-22 22:27:20
131,255710,7031,2025-09-22 22:27:49
132,739630,17627,2025-09-22 22:28:18
133,239140,8788,2025-09-22 22:28:47
134,10,9859,2025-09-22 22:29:16
135,1454400,10224,2025-09-22 22:29:45
136,2763740,9450,2025-09-22 22:30:14
137,304930,10655,2025-09-22 22:30:43
138,1599340,11689,2025-09-22 22:31:12
139,1920960,2317,2025-09-22 22:31:41
140,3164500,17096,2025-09-22 22:32:11
141,107410,11766,2025-09-22 22:32:40
142,1568590,3326,2025-09-22 22:33:09
143,1063730,12410,2025-09-22 22:33:38
144,2001120,2711,2025-09-22 22:34:07
145,457140,5246,2025-09-22 22:34:36
146,244210,11272,2025-09-22 22:35:05
147,761890,9055,2025-09-22 22:35:34
148,1238840,4310,2025-09-22 22:36:04
149,2707930,11921,2025-09-22 22:36:33
150,2379780,11265,2025-09-22 22:37:02
151,534380,7556,2025-09-22 22:37:31
152,990080,9060,2025-09-22 22:38:00
153,2426960,7421,2025-09-22 22:38:29
154,3564400,2809,2025-09-22 22:38:58
155,1903340,10509,2025-09-22 22:39:28
156,1238810,2045,2025-09-22 22:39:57
157,3061570,6983,2025-09-22 22:40:26
158,3231090,7692,2025-09-22 22:40:55
159,529340,6825,2025-09-22 22:41:24
160,1476970,8090,2025-09-22 22:41:53
161,1248130,8056,2025-09-22 22:42:22
