appid,genre_ids,release_date,platforms
244850,"['1', '23', '28', '2']","28 Feb, 2019","[1, 0, 0]"
477160,"['25', '4', '23', '28']","22 Jul, 2016","[1, 1, 0]"
1293830,['9'],"9 Mar, 2021","[1, 0, 0]"
700330,"['1', '37']","29 Dec, 2017","[1, 0, 0]"
1909950,"['3', '28', '2']","27 Aug, 2025","[1, 0, 0]"
1778820,['1'],"25 Jan, 2024","[1, 0, 0]"
306130,"['1', '25', '29', '3']","22 May, 2017","[1, 1, 0]"
391220,"['1', '25']","9 Feb, 2016","[1, 1, 1]"
2016590,"['1', '3', '37', '70']","7 Jun, 2024","[1, 0, 0]"
440900,"['1', '25', '29', '3', '28', '2']","8 May, 2018","[1, 0, 0]"
728880,"['1', '4', '23']","7 Aug, 2018","[1, 1, 1]"
431730,"['51', '53', '60']","22 Feb, 2016","[1, 1, 1]"
1284210,"['25', '29', '3', '37']","23 Aug, 2022","[1, 0, 0]"
1295660,"['28', '2']","10 Feb, 2025","[1, 1, 1]"
815370,"['1', '25', '23', '28']","5 Sep, 2019","[1, 0, 0]"
233860,"['1', '23', '3', '28', '2']","6 Dec, 2018","[1, 0, 0]"
1211020,"['1', '25', '4', '23', '28']","18 Sep, 2025","[1, 0, 0]"
2949320,"['1', '25', '4', '23', '3', '70']","18 Sep, 2025","[1, 0, 0]"
2050650,"['1', '25']","23 Mar, 2023","[1, 0, 0]"
3059520,"['9', '28', '18']","30 May, 2025","[1, 0, 0]"
379430,"['1', '25', '3']","13 Feb, 2018","[1, 0, 0]"
518790,"['25', '28', '18']","16 Feb, 2017","[1, 0, 0]"
916440,"['28', '2']","16 Apr, 2019","[1, 0, 0]"
1144200,"['1', '25', '23']","13 Dec, 2023","[1, 0, 0]"
1876890,"['25', '23', '3', '2']","14 Sep, 2023","[1, 0, 0]"
1604270,['2'],"19 Jun, 2025","[1, 0, 0]"
3321660,[],"14 Sep, 2025","[1, 0, 0]"
214950,['2'],"2 Sep, 2013","[1, 1, 0]"
632360,"['1', '23']","11 Aug, 2020","[1, 0, 0]"
262060,"['23', '3', '2']","19 Jan, 2016","[1, 1, 1]"
2471100,"['4', '28', '37', '70']","27 Jul, 2023","[1, 0, 1]"
933110,"['2', '37']","15 Oct, 2020","[1, 0, 0]"
270880,"['23', '28']","2 Feb, 2016","[1, 1, 1]"
1868140,"['25', '4', '3', '28']","28 Jun, 2023","[1, 1, 0]"
2277560,"['1', '25', '3']","23 Jul, 2025","[1, 0, 0]"
1366540,"['23', '28', '2', '70']","20 Jan, 2021","[1, 0, 0]"
242760,"['1', '25', '23', '28']","30 Apr, 2018","[1, 0, 0]"
1904540,"['28', '18']","8 Nov, 2022","[1, 1, 0]"
3199170,"['1', '25', '29', '2', '37']","13 Mar, 2025","[1, 0, 0]"
48700,"['1', '3']","31 Mar, 2010","[1, 1, 1]"
914690,['1'],"1 Sep, 2018","[1, 0, 0]"
3180070,"['23', '28']","15 Sep, 2025","[1, 0, 0]"
1943950,"['23', '70']","11 Aug, 2022","[1, 0, 0]"
1267910,"['25', '4', '23', '3']","18 Nov, 2021","[1, 1, 1]"
1304930,"['1', '25', '23']","5 Mar, 2024","[1, 0, 0]"
588650,"['1', '25', '23']","6 Aug, 2018","[1, 1, 1]"
2642680,"['1', '25', '23', '28']","13 Oct, 2023","[1, 0, 0]"
1066780,"['4', '23', '28', '2']","11 Dec, 2019","[1, 1, 1]"
544810,"['4', '23', '2', '37']","15 Apr, 2020","[1, 0, 0]"
2384580,"['1', '3', '2']","16 Jan, 2025","[1, 0, 0]"
945360,['4'],"16 Nov, 2018","[1, 0, 0]"
1621690,"['1', '25', '23', '3', '28']","27 Aug, 2024","[1, 0, 1]"
